data_D2,vacina_D2,agegroup,n,dif
2021-02-10,AZ,4,3,350
2021-02-10,AZ,5,2,350
2021-02-10,AZ,7,1,350
2021-02-10,AZ,9,1,350
2021-02-10,Coronavac,1,1,350
2021-02-10,Coronavac,4,174,350
2021-02-10,Coronavac,5,281,350
2021-02-10,Coronavac,6,221,350
2021-02-10,Coronavac,7,100,350
2021-02-10,Coronavac,8,33,350
2021-02-10,Coronavac,9,16,350
2021-02-10,Coronavac,10,20,350
2021-02-10,Coronavac,11,26,350
2021-02-11,AZ,5,3,349
2021-02-11,AZ,6,1,349
2021-02-11,AZ,7,1,349
2021-02-11,AZ,10,2,349
2021-02-11,Coronavac,4,1514,349
2021-02-11,Coronavac,5,2334,349
2021-02-11,Coronavac,6,1808,349
2021-02-11,Coronavac,7,987,349
2021-02-11,Coronavac,8,342,349
2021-02-11,Coronavac,9,185,349
2021-02-11,Coronavac,10,165,349
2021-02-11,Coronavac,11,127,349
2021-02-12,AZ,4,1,348
2021-02-12,AZ,5,1,348
2021-02-12,AZ,6,1,348
2021-02-12,AZ,7,1,348
2021-02-12,AZ,8,1,348
2021-02-12,AZ,10,3,348
2021-02-12,Coronavac,2,2,348
2021-02-12,Coronavac,3,4,348
2021-02-12,Coronavac,4,2585,348
2021-02-12,Coronavac,5,3915,348
2021-02-12,Coronavac,6,3071,348
2021-02-12,Coronavac,7,1652,348
2021-02-12,Coronavac,8,485,348
2021-02-12,Coronavac,9,265,348
2021-02-12,Coronavac,10,413,348
2021-02-12,Coronavac,11,266,348
2021-02-12,Pfizer,3,1,348
2021-02-13,AZ,9,1,347
2021-02-13,AZ,11,1,347
2021-02-13,Coronavac,3,1,347
2021-02-13,Coronavac,4,463,347
2021-02-13,Coronavac,5,791,347
2021-02-13,Coronavac,6,628,347
2021-02-13,Coronavac,7,291,347
2021-02-13,Coronavac,8,81,347
2021-02-13,Coronavac,9,77,347
2021-02-13,Coronavac,10,102,347
2021-02-13,Coronavac,11,40,347
2021-02-14,AZ,6,1,346
2021-02-14,Coronavac,4,351,346
2021-02-14,Coronavac,5,821,346
2021-02-14,Coronavac,6,570,346
2021-02-14,Coronavac,7,255,346
2021-02-14,Coronavac,8,52,346
2021-02-14,Coronavac,9,9,346
2021-02-14,Coronavac,10,4,346
2021-02-14,Coronavac,11,3,346
2021-02-15,AZ,4,2,345
2021-02-15,AZ,6,2,345
2021-02-15,AZ,8,1,345
2021-02-15,AZ,9,2,345
2021-02-15,AZ,10,1,345
2021-02-15,Coronavac,2,1,345
2021-02-15,Coronavac,3,4,345
2021-02-15,Coronavac,4,2698,345
2021-02-15,Coronavac,5,4117,345
2021-02-15,Coronavac,6,3090,345
2021-02-15,Coronavac,7,1589,345
2021-02-15,Coronavac,8,473,345
2021-02-15,Coronavac,9,268,345
2021-02-15,Coronavac,10,347,345
2021-02-15,Coronavac,11,226,345
2021-02-16,AZ,4,2,344
2021-02-16,AZ,6,1,344
2021-02-16,AZ,7,1,344
2021-02-16,AZ,8,3,344
2021-02-16,AZ,9,2,344
2021-02-16,AZ,10,2,344
2021-02-16,Coronavac,3,4,344
2021-02-16,Coronavac,4,3014,344
2021-02-16,Coronavac,5,4798,344
2021-02-16,Coronavac,6,3669,344
2021-02-16,Coronavac,7,1863,344
2021-02-16,Coronavac,8,558,344
2021-02-16,Coronavac,9,315,344
2021-02-16,Coronavac,10,496,344
2021-02-16,Coronavac,11,310,344
2021-02-17,AZ,4,2,343
2021-02-17,AZ,5,4,343
2021-02-17,AZ,6,5,343
2021-02-17,AZ,7,4,343
2021-02-17,AZ,8,1,343
2021-02-17,Coronavac,2,1,343
2021-02-17,Coronavac,3,3,343
2021-02-17,Coronavac,4,2706,343
2021-02-17,Coronavac,5,4230,343
2021-02-17,Coronavac,6,3394,343
2021-02-17,Coronavac,7,1704,343
2021-02-17,Coronavac,8,514,343
2021-02-17,Coronavac,9,316,343
2021-02-17,Coronavac,10,406,343
2021-02-17,Coronavac,11,248,343
2021-02-18,AZ,4,2,342
2021-02-18,AZ,5,2,342
2021-02-18,AZ,7,2,342
2021-02-18,Coronavac,2,1,342
2021-02-18,Coronavac,3,4,342
2021-02-18,Coronavac,4,3004,342
2021-02-18,Coronavac,5,4655,342
2021-02-18,Coronavac,6,3482,342
2021-02-18,Coronavac,7,1776,342
2021-02-18,Coronavac,8,616,342
2021-02-18,Coronavac,9,411,342
2021-02-18,Coronavac,10,485,342
2021-02-18,Coronavac,11,292,342
2021-02-19,AZ,4,1,341
2021-02-19,AZ,5,1,341
2021-02-19,AZ,8,2,341
2021-02-19,AZ,10,1,341
2021-02-19,Coronavac,1,1,341
2021-02-19,Coronavac,3,6,341
2021-02-19,Coronavac,4,2573,341
2021-02-19,Coronavac,5,3548,341
2021-02-19,Coronavac,6,2756,341
2021-02-19,Coronavac,7,1367,341
2021-02-19,Coronavac,8,480,341
2021-02-19,Coronavac,9,337,341
2021-02-19,Coronavac,10,410,341
2021-02-19,Coronavac,11,234,341
2021-02-20,Coronavac,2,2,340
2021-02-20,Coronavac,3,4,340
2021-02-20,Coronavac,4,251,340
2021-02-20,Coronavac,5,350,340
2021-02-20,Coronavac,6,314,340
2021-02-20,Coronavac,7,154,340
2021-02-20,Coronavac,8,99,340
2021-02-20,Coronavac,9,78,340
2021-02-20,Coronavac,10,152,340
2021-02-20,Coronavac,11,107,340
2021-02-21,AZ,10,2,339
2021-02-21,Coronavac,4,39,339
2021-02-21,Coronavac,5,72,339
2021-02-21,Coronavac,6,58,339
2021-02-21,Coronavac,7,36,339
2021-02-21,Coronavac,8,8,339
2021-02-21,Coronavac,9,4,339
2021-02-21,Coronavac,10,4,339
2021-02-21,Coronavac,11,3,339
2021-02-22,AZ,6,1,338
2021-02-22,AZ,10,9,338
2021-02-22,Coronavac,3,2,338
2021-02-22,Coronavac,4,1543,338
2021-02-22,Coronavac,5,2047,338
2021-02-22,Coronavac,6,1570,338
2021-02-22,Coronavac,7,861,338
2021-02-22,Coronavac,8,265,338
2021-02-22,Coronavac,9,159,338
2021-02-22,Coronavac,10,146,338
2021-02-22,Coronavac,11,124,338
2021-02-23,AZ,4,1,337
2021-02-23,AZ,5,6,337
2021-02-23,AZ,6,9,337
2021-02-23,AZ,7,4,337
2021-02-23,AZ,8,1,337
2021-02-23,AZ,9,1,337
2021-02-23,Coronavac,3,6,337
2021-02-23,Coronavac,4,1464,337
2021-02-23,Coronavac,5,1876,337
2021-02-23,Coronavac,6,1450,337
2021-02-23,Coronavac,7,777,337
2021-02-23,Coronavac,8,251,337
2021-02-23,Coronavac,9,134,337
2021-02-23,Coronavac,10,150,337
2021-02-23,Coronavac,11,117,337
2021-02-24,AZ,4,1,336
2021-02-24,AZ,5,1,336
2021-02-24,AZ,6,4,336
2021-02-24,AZ,9,1,336
2021-02-24,AZ,10,2,336
2021-02-24,Coronavac,3,5,336
2021-02-24,Coronavac,4,1209,336
2021-02-24,Coronavac,5,1561,336
2021-02-24,Coronavac,6,1176,336
2021-02-24,Coronavac,7,642,336
2021-02-24,Coronavac,8,259,336
2021-02-24,Coronavac,9,150,336
2021-02-24,Coronavac,10,198,336
2021-02-24,Coronavac,11,175,336
2021-02-25,AZ,5,1,335
2021-02-25,AZ,8,1,335
2021-02-25,Coronavac,3,3,335
2021-02-25,Coronavac,4,1020,335
2021-02-25,Coronavac,5,1322,335
2021-02-25,Coronavac,6,1000,335
2021-02-25,Coronavac,7,555,335
2021-02-25,Coronavac,8,208,335
2021-02-25,Coronavac,9,122,335
2021-02-25,Coronavac,10,161,335
2021-02-25,Coronavac,11,174,335
2021-02-26,AZ,7,4,334
2021-02-26,AZ,10,8,334
2021-02-26,Coronavac,3,4,334
2021-02-26,Coronavac,4,1171,334
2021-02-26,Coronavac,5,1343,334
2021-02-26,Coronavac,6,1129,334
2021-02-26,Coronavac,7,626,334
2021-02-26,Coronavac,8,237,334
2021-02-26,Coronavac,9,119,334
2021-02-26,Coronavac,10,153,334
2021-02-26,Coronavac,11,1474,334
2021-02-27,AZ,9,2,333
2021-02-27,AZ,10,46,333
2021-02-27,AZ,11,1,333
2021-02-27,Coronavac,4,187,333
2021-02-27,Coronavac,5,241,333
2021-02-27,Coronavac,6,225,333
2021-02-27,Coronavac,7,114,333
2021-02-27,Coronavac,8,70,333
2021-02-27,Coronavac,9,41,333
2021-02-27,Coronavac,10,84,333
2021-02-27,Coronavac,11,397,333
2021-02-28,AZ,4,1,332
2021-02-28,AZ,6,1,332
2021-02-28,AZ,10,6,332
2021-02-28,Coronavac,4,123,332
2021-02-28,Coronavac,5,141,332
2021-02-28,Coronavac,6,106,332
2021-02-28,Coronavac,7,70,332
2021-02-28,Coronavac,8,27,332
2021-02-28,Coronavac,9,17,332
2021-02-28,Coronavac,10,27,332
2021-02-28,Coronavac,11,141,332
2021-03-01,AZ,4,4,331
2021-03-01,AZ,5,8,331
2021-03-01,AZ,6,5,331
2021-03-01,AZ,7,4,331
2021-03-01,AZ,8,1,331
2021-03-01,AZ,9,2,331
2021-03-01,AZ,10,72,331
2021-03-01,AZ,11,2,331
2021-03-01,Coronavac,2,1,331
2021-03-01,Coronavac,3,5,331
2021-03-01,Coronavac,4,1317,331
2021-03-01,Coronavac,5,1484,331
2021-03-01,Coronavac,6,1086,331
2021-03-01,Coronavac,7,695,331
2021-03-01,Coronavac,8,319,331
2021-03-01,Coronavac,9,177,331
2021-03-01,Coronavac,10,413,331
2021-03-01,Coronavac,11,3099,331
2021-03-02,AZ,4,4,330
2021-03-02,AZ,5,6,330
2021-03-02,AZ,6,7,330
2021-03-02,AZ,7,5,330
2021-03-02,AZ,8,2,330
2021-03-02,AZ,9,3,330
2021-03-02,AZ,10,20,330
2021-03-02,Coronavac,2,1,330
2021-03-02,Coronavac,3,15,330
2021-03-02,Coronavac,4,3142,330
2021-03-02,Coronavac,5,3303,330
2021-03-02,Coronavac,6,2343,330
2021-03-02,Coronavac,7,1426,330
2021-03-02,Coronavac,8,934,330
2021-03-02,Coronavac,9,370,330
2021-03-02,Coronavac,10,854,330
2021-03-02,Coronavac,11,3593,330
2021-03-03,AZ,4,1,329
2021-03-03,AZ,5,1,329
2021-03-03,AZ,9,13,329
2021-03-03,AZ,10,18,329
2021-03-03,AZ,11,3,329
2021-03-03,Coronavac,3,21,329
2021-03-03,Coronavac,4,3372,329
2021-03-03,Coronavac,5,3433,329
2021-03-03,Coronavac,6,2560,329
2021-03-03,Coronavac,7,1627,329
2021-03-03,Coronavac,8,826,329
2021-03-03,Coronavac,9,497,329
2021-03-03,Coronavac,10,1430,329
2021-03-03,Coronavac,11,3279,329
2021-03-03,Pfizer,11,1,329
2021-03-04,AZ,4,1,328
2021-03-04,AZ,5,2,328
2021-03-04,AZ,6,1,328
2021-03-04,AZ,7,1,328
2021-03-04,AZ,8,1,328
2021-03-04,AZ,9,4,328
2021-03-04,AZ,10,5,328
2021-03-04,AZ,11,1,328
2021-03-04,Coronavac,1,2,328
2021-03-04,Coronavac,2,1,328
2021-03-04,Coronavac,3,15,328
2021-03-04,Coronavac,4,2988,328
2021-03-04,Coronavac,5,2863,328
2021-03-04,Coronavac,6,2204,328
2021-03-04,Coronavac,7,1363,328
2021-03-04,Coronavac,8,681,328
2021-03-04,Coronavac,9,299,328
2021-03-04,Coronavac,10,2152,328
2021-03-04,Coronavac,11,2577,328
2021-03-05,AZ,5,2,327
2021-03-05,AZ,6,2,327
2021-03-05,AZ,7,3,327
2021-03-05,AZ,9,12,327
2021-03-05,AZ,10,22,327
2021-03-05,AZ,11,1,327
2021-03-05,Coronavac,1,1,327
2021-03-05,Coronavac,3,10,327
2021-03-05,Coronavac,4,2131,327
2021-03-05,Coronavac,5,2169,327
2021-03-05,Coronavac,6,1732,327
2021-03-05,Coronavac,7,1086,327
2021-03-05,Coronavac,8,602,327
2021-03-05,Coronavac,9,343,327
2021-03-05,Coronavac,10,4600,327
2021-03-05,Coronavac,11,2537,327
2021-03-05,Pfizer,10,1,327
2021-03-05,Pfizer,11,3,327
2021-03-06,AZ,10,3,326
2021-03-06,Coronavac,3,10,326
2021-03-06,Coronavac,4,524,326
2021-03-06,Coronavac,5,541,326
2021-03-06,Coronavac,6,452,326
2021-03-06,Coronavac,7,264,326
2021-03-06,Coronavac,8,137,326
2021-03-06,Coronavac,9,92,326
2021-03-06,Coronavac,10,1098,326
2021-03-06,Coronavac,11,1528,326
2021-03-07,AZ,8,1,325
2021-03-07,AZ,9,1,325
2021-03-07,Coronavac,4,51,325
2021-03-07,Coronavac,5,57,325
2021-03-07,Coronavac,6,39,325
2021-03-07,Coronavac,7,32,325
2021-03-07,Coronavac,8,8,325
2021-03-07,Coronavac,9,12,325
2021-03-07,Coronavac,10,301,325
2021-03-07,Coronavac,11,171,325
2021-03-08,AZ,6,4,324
2021-03-08,AZ,7,1,324
2021-03-08,AZ,9,1,324
2021-03-08,AZ,10,2,324
2021-03-08,AZ,11,4,324
2021-03-08,Coronavac,3,5,324
2021-03-08,Coronavac,4,849,324
2021-03-08,Coronavac,5,882,324
2021-03-08,Coronavac,6,724,324
2021-03-08,Coronavac,7,595,324
2021-03-08,Coronavac,8,373,324
2021-03-08,Coronavac,9,242,324
2021-03-08,Coronavac,10,5209,324
2021-03-08,Coronavac,11,2387,324
2021-03-09,AZ,7,1,323
2021-03-09,AZ,8,1,323
2021-03-09,AZ,9,1,323
2021-03-09,AZ,10,20,323
2021-03-09,Coronavac,2,1,323
2021-03-09,Coronavac,3,3,323
2021-03-09,Coronavac,4,830,323
2021-03-09,Coronavac,5,875,323
2021-03-09,Coronavac,6,789,323
2021-03-09,Coronavac,7,591,323
2021-03-09,Coronavac,8,440,323
2021-03-09,Coronavac,9,298,323
2021-03-09,Coronavac,10,5520,323
2021-03-09,Coronavac,11,1794,323
2021-03-10,AZ,4,1,322
2021-03-10,AZ,5,2,322
2021-03-10,AZ,6,4,322
2021-03-10,AZ,7,2,322
2021-03-10,AZ,10,7,322
2021-03-10,AZ,11,1,322
2021-03-10,Coronavac,3,1,322
2021-03-10,Coronavac,4,896,322
2021-03-10,Coronavac,5,962,322
2021-03-10,Coronavac,6,863,322
2021-03-10,Coronavac,7,573,322
2021-03-10,Coronavac,8,447,322
2021-03-10,Coronavac,9,320,322
2021-03-10,Coronavac,10,5045,322
2021-03-10,Coronavac,11,1260,322
2021-03-11,AZ,4,2,321
2021-03-11,AZ,5,10,321
2021-03-11,AZ,6,8,321
2021-03-11,AZ,7,2,321
2021-03-11,AZ,9,1,321
2021-03-11,AZ,10,6,321
2021-03-11,AZ,11,2,321
2021-03-11,Coronavac,3,4,321
2021-03-11,Coronavac,4,1225,321
2021-03-11,Coronavac,5,1191,321
2021-03-11,Coronavac,6,1077,321
2021-03-11,Coronavac,7,742,321
2021-03-11,Coronavac,8,463,321
2021-03-11,Coronavac,9,344,321
2021-03-11,Coronavac,10,5450,321
2021-03-11,Coronavac,11,1311,321
2021-03-11,Pfizer,10,1,321
2021-03-12,AZ,4,2,320
2021-03-12,AZ,5,7,320
2021-03-12,AZ,6,8,320
2021-03-12,AZ,7,3,320
2021-03-12,AZ,9,3,320
2021-03-12,AZ,10,1,320
2021-03-12,Coronavac,3,4,320
2021-03-12,Coronavac,4,1010,320
2021-03-12,Coronavac,5,1040,320
2021-03-12,Coronavac,6,984,320
2021-03-12,Coronavac,7,676,320
2021-03-12,Coronavac,8,422,320
2021-03-12,Coronavac,9,263,320
2021-03-12,Coronavac,10,5459,320
2021-03-12,Coronavac,11,1034,320
2021-03-13,AZ,8,1,319
2021-03-13,AZ,10,1,319
2021-03-13,Coronavac,4,165,319
2021-03-13,Coronavac,5,174,319
2021-03-13,Coronavac,6,154,319
2021-03-13,Coronavac,7,128,319
2021-03-13,Coronavac,8,79,319
2021-03-13,Coronavac,9,110,319
2021-03-13,Coronavac,10,1379,319
2021-03-13,Coronavac,11,235,319
2021-03-14,AZ,10,1,318
2021-03-14,Coronavac,4,17,318
2021-03-14,Coronavac,5,16,318
2021-03-14,Coronavac,6,17,318
2021-03-14,Coronavac,7,28,318
2021-03-14,Coronavac,8,10,318
2021-03-14,Coronavac,9,9,318
2021-03-14,Coronavac,10,329,318
2021-03-14,Coronavac,11,31,318
2021-03-15,AZ,4,2,317
2021-03-15,AZ,5,2,317
2021-03-15,AZ,6,1,317
2021-03-15,AZ,9,2,317
2021-03-15,AZ,10,4,317
2021-03-15,Coronavac,3,5,317
2021-03-15,Coronavac,4,638,317
2021-03-15,Coronavac,5,635,317
2021-03-15,Coronavac,6,528,317
2021-03-15,Coronavac,7,399,317
2021-03-15,Coronavac,8,349,317
2021-03-15,Coronavac,9,327,317
2021-03-15,Coronavac,10,3405,317
2021-03-15,Coronavac,11,531,317
2021-03-16,AZ,4,1,316
2021-03-16,AZ,7,2,316
2021-03-16,AZ,8,1,316
2021-03-16,AZ,10,1,316
2021-03-16,AZ,11,1,316
2021-03-16,Coronavac,3,2,316
2021-03-16,Coronavac,4,629,316
2021-03-16,Coronavac,5,636,316
2021-03-16,Coronavac,6,565,316
2021-03-16,Coronavac,7,357,316
2021-03-16,Coronavac,8,286,316
2021-03-16,Coronavac,9,248,316
2021-03-16,Coronavac,10,2589,316
2021-03-16,Coronavac,11,478,316
2021-03-17,AZ,10,3,315
2021-03-17,AZ,11,1,315
2021-03-17,Coronavac,3,2,315
2021-03-17,Coronavac,4,645,315
2021-03-17,Coronavac,5,700,315
2021-03-17,Coronavac,6,571,315
2021-03-17,Coronavac,7,436,315
2021-03-17,Coronavac,8,272,315
2021-03-17,Coronavac,9,239,315
2021-03-17,Coronavac,10,2126,315
2021-03-17,Coronavac,11,392,315
2021-03-18,AZ,6,1,314
2021-03-18,AZ,10,2,314
2021-03-18,AZ,11,2,314
2021-03-18,Coronavac,3,3,314
2021-03-18,Coronavac,4,627,314
2021-03-18,Coronavac,5,687,314
2021-03-18,Coronavac,6,565,314
2021-03-18,Coronavac,7,382,314
2021-03-18,Coronavac,8,267,314
2021-03-18,Coronavac,9,282,314
2021-03-18,Coronavac,10,1650,314
2021-03-18,Coronavac,11,321,314
2021-03-19,AZ,4,1,313
2021-03-19,AZ,5,4,313
2021-03-19,AZ,6,3,313
2021-03-19,AZ,7,1,313
2021-03-19,AZ,9,1,313
2021-03-19,Coronavac,3,1,313
2021-03-19,Coronavac,4,641,313
2021-03-19,Coronavac,5,599,313
2021-03-19,Coronavac,6,491,313
2021-03-19,Coronavac,7,359,313
2021-03-19,Coronavac,8,221,313
2021-03-19,Coronavac,9,285,313
2021-03-19,Coronavac,10,1255,313
2021-03-19,Coronavac,11,257,313
2021-03-20,AZ,10,2,312
2021-03-20,Coronavac,4,102,312
2021-03-20,Coronavac,5,90,312
2021-03-20,Coronavac,6,72,312
2021-03-20,Coronavac,7,68,312
2021-03-20,Coronavac,8,37,312
2021-03-20,Coronavac,9,60,312
2021-03-20,Coronavac,10,500,312
2021-03-20,Coronavac,11,108,312
2021-03-21,Coronavac,4,80,311
2021-03-21,Coronavac,5,81,311
2021-03-21,Coronavac,6,49,311
2021-03-21,Coronavac,7,35,311
2021-03-21,Coronavac,8,9,311
2021-03-21,Coronavac,9,17,311
2021-03-21,Coronavac,10,111,311
2021-03-21,Coronavac,11,18,311
2021-03-22,AZ,5,1,310
2021-03-22,AZ,6,1,310
2021-03-22,AZ,9,2,310
2021-03-22,AZ,10,5,310
2021-03-22,Coronavac,3,6,310
2021-03-22,Coronavac,4,405,310
2021-03-22,Coronavac,5,446,310
2021-03-22,Coronavac,6,357,310
2021-03-22,Coronavac,7,377,310
2021-03-22,Coronavac,8,205,310
2021-03-22,Coronavac,9,312,310
2021-03-22,Coronavac,10,1842,310
2021-03-22,Coronavac,11,203,310
2021-03-23,AZ,4,1,309
2021-03-23,AZ,6,1,309
2021-03-23,AZ,9,2,309
2021-03-23,AZ,10,3,309
2021-03-23,Coronavac,3,4,309
2021-03-23,Coronavac,4,454,309
2021-03-23,Coronavac,5,519,309
2021-03-23,Coronavac,6,445,309
2021-03-23,Coronavac,7,423,309
2021-03-23,Coronavac,8,213,309
2021-03-23,Coronavac,9,744,309
2021-03-23,Coronavac,10,2142,309
2021-03-23,Coronavac,11,188,309
2021-03-24,AZ,7,1,308
2021-03-24,AZ,8,2,308
2021-03-24,AZ,9,11,308
2021-03-24,AZ,10,5,308
2021-03-24,Coronavac,4,530,308
2021-03-24,Coronavac,5,563,308
2021-03-24,Coronavac,6,491,308
2021-03-24,Coronavac,7,518,308
2021-03-24,Coronavac,8,277,308
2021-03-24,Coronavac,9,6215,308
2021-03-24,Coronavac,10,2391,308
2021-03-24,Coronavac,11,182,308
2021-03-25,AZ,9,3,307
2021-03-25,AZ,10,1,307
2021-03-25,Coronavac,3,3,307
2021-03-25,Coronavac,4,566,307
2021-03-25,Coronavac,5,602,307
2021-03-25,Coronavac,6,515,307
2021-03-25,Coronavac,7,534,307
2021-03-25,Coronavac,8,320,307
2021-03-25,Coronavac,9,4417,307
2021-03-25,Coronavac,10,2304,307
2021-03-25,Coronavac,11,182,307
2021-03-26,AZ,4,2,306
2021-03-26,AZ,5,1,306
2021-03-26,AZ,6,1,306
2021-03-26,AZ,9,3,306
2021-03-26,AZ,10,4,306
2021-03-26,Coronavac,4,453,306
2021-03-26,Coronavac,5,472,306
2021-03-26,Coronavac,6,425,306
2021-03-26,Coronavac,7,493,306
2021-03-26,Coronavac,8,327,306
2021-03-26,Coronavac,9,3892,306
2021-03-26,Coronavac,10,2176,306
2021-03-26,Coronavac,11,196,306
2021-03-27,AZ,5,3,305
2021-03-27,AZ,6,1,305
2021-03-27,AZ,8,2,305
2021-03-27,AZ,9,1,305
