data_D2,vacina_D2,agegroup,n,dif
2021-01-18,Coronavac,4,2,373
2021-01-18,Coronavac,5,1,373
2021-01-18,Coronavac,7,1,373
2021-01-18,Coronavac,9,1,373
2021-01-19,Coronavac,4,2,372
2021-01-19,Coronavac,6,1,372
2021-01-19,Coronavac,7,2,372
2021-01-19,Coronavac,8,1,372
2021-01-20,Coronavac,4,1,371
2021-01-20,Coronavac,5,1,371
2021-01-20,Coronavac,7,1,371
2021-01-20,Coronavac,8,2,371
2021-01-20,Coronavac,9,1,371
2021-01-21,Coronavac,4,7,370
2021-01-21,Coronavac,5,20,370
2021-01-21,Coronavac,6,8,370
2021-01-21,Coronavac,7,4,370
2021-01-21,Coronavac,8,1,370
2021-01-21,Coronavac,9,2,370
2021-01-22,AZ,7,1,369
2021-01-22,AZ,8,1,369
2021-01-22,Coronavac,4,11,369
2021-01-22,Coronavac,5,12,369
2021-01-22,Coronavac,6,19,369
2021-01-22,Coronavac,7,6,369
2021-01-22,Coronavac,8,3,369
2021-01-22,Coronavac,9,1,369
2021-01-22,Coronavac,10,3,369
2021-01-22,Coronavac,11,7,369
2021-01-23,Coronavac,5,6,368
2021-01-23,Coronavac,6,3,368
2021-01-23,Coronavac,7,2,368
2021-01-23,Coronavac,8,2,368
2021-01-24,Coronavac,5,2,367
2021-01-24,Coronavac,6,5,367
2021-01-24,Coronavac,7,5,367
2021-01-24,Coronavac,8,1,367
2021-01-25,Coronavac,4,2,366
2021-01-25,Coronavac,5,7,366
2021-01-25,Coronavac,6,2,366
2021-01-25,Coronavac,7,3,366
2021-01-26,Coronavac,4,6,365
2021-01-26,Coronavac,5,5,365
2021-01-26,Coronavac,6,5,365
2021-01-26,Coronavac,7,4,365
2021-01-26,Coronavac,10,1,365
2021-01-27,AZ,6,3,364
2021-01-27,Coronavac,3,1,364
2021-01-27,Coronavac,4,2,364
2021-01-27,Coronavac,5,6,364
2021-01-27,Coronavac,6,1,364
2021-01-27,Coronavac,7,7,364
2021-01-27,Coronavac,9,3,364
2021-01-27,Coronavac,10,1,364
2021-01-28,AZ,4,1,363
2021-01-28,AZ,7,1,363
2021-01-28,AZ,8,1,363
2021-01-28,Coronavac,4,3,363
2021-01-28,Coronavac,5,4,363
2021-01-28,Coronavac,6,6,363
2021-01-28,Coronavac,7,3,363
2021-01-28,Coronavac,8,1,363
2021-01-28,Coronavac,10,1,363
2021-01-28,Coronavac,11,1,363
2021-01-29,AZ,5,1,362
2021-01-29,AZ,6,2,362
2021-01-29,AZ,11,1,362
2021-01-29,Coronavac,4,2,362
2021-01-29,Coronavac,5,2,362
2021-01-29,Coronavac,6,1,362
2021-01-29,Coronavac,8,1,362
2021-01-30,Coronavac,4,1,361
2021-01-31,Coronavac,5,1,360
2021-01-31,Coronavac,6,1,360
2021-01-31,Coronavac,8,1,360
2021-01-31,Coronavac,9,2,360
2021-01-31,Coronavac,10,1,360
2021-02-01,Coronavac,4,5,359
2021-02-01,Coronavac,5,4,359
2021-02-01,Coronavac,6,1,359
2021-02-01,Coronavac,7,3,359
2021-02-01,Coronavac,10,1,359
2021-02-02,AZ,4,3,358
2021-02-02,AZ,5,1,358
2021-02-02,AZ,6,3,358
2021-02-02,AZ,10,1,358
2021-02-02,AZ,11,1,358
2021-02-02,Coronavac,4,6,358
2021-02-02,Coronavac,5,6,358
2021-02-02,Coronavac,6,5,358
2021-02-02,Coronavac,7,3,358
2021-02-02,Coronavac,8,1,358
2021-02-02,Coronavac,10,1,358
2021-02-02,Coronavac,11,2,358
2021-02-03,AZ,4,1,357
2021-02-03,AZ,5,3,357
2021-02-03,AZ,7,1,357
2021-02-03,AZ,10,2,357
2021-02-03,Coronavac,4,6,357
2021-02-03,Coronavac,5,10,357
2021-02-03,Coronavac,6,9,357
2021-02-03,Coronavac,7,5,357
2021-02-03,Coronavac,8,4,357
2021-02-03,Coronavac,9,1,357
2021-02-03,Coronavac,10,2,357
2021-02-03,Coronavac,11,4,357
2021-02-04,AZ,4,2,356
2021-02-04,AZ,5,3,356
2021-02-04,AZ,6,1,356
2021-02-04,AZ,11,2,356
2021-02-04,Coronavac,4,3,356
2021-02-04,Coronavac,5,3,356
2021-02-04,Coronavac,6,7,356
2021-02-04,Coronavac,7,1,356
2021-02-04,Coronavac,8,1,356
2021-02-04,Coronavac,10,1,356
2021-02-04,Coronavac,11,5,356
2021-02-05,AZ,4,1,355
2021-02-05,AZ,5,4,355
2021-02-05,AZ,6,3,355
2021-02-05,AZ,8,1,355
2021-02-05,AZ,10,1,355
2021-02-05,AZ,11,3,355
2021-02-05,Coronavac,4,3,355
2021-02-05,Coronavac,5,10,355
2021-02-05,Coronavac,6,7,355
2021-02-05,Coronavac,7,1,355
2021-02-05,Coronavac,10,1,355
2021-02-05,Coronavac,11,8,355
2021-02-06,AZ,4,1,354
2021-02-06,AZ,8,1,354
2021-02-06,AZ,9,1,354
2021-02-06,Coronavac,8,2,354
2021-02-06,Coronavac,9,1,354
2021-02-06,Coronavac,11,2,354
2021-02-07,AZ,4,2,353
2021-02-07,Coronavac,4,1,353
2021-02-07,Coronavac,5,3,353
2021-02-07,Coronavac,11,2,353
2021-02-08,AZ,5,2,352
2021-02-08,AZ,6,2,352
2021-02-08,AZ,7,1,352
2021-02-08,AZ,8,1,352
2021-02-08,AZ,11,2,352
2021-02-08,Coronavac,4,5,352
2021-02-08,Coronavac,5,17,352
2021-02-08,Coronavac,6,12,352
2021-02-08,Coronavac,7,4,352
2021-02-08,Coronavac,8,9,352
2021-02-08,Coronavac,9,2,352
2021-02-08,Coronavac,10,2,352
2021-02-08,Coronavac,11,18,352
2021-02-09,AZ,4,3,351
2021-02-09,AZ,5,2,351
2021-02-09,AZ,8,1,351
2021-02-09,AZ,9,1,351
2021-02-09,AZ,10,1,351
2021-02-09,AZ,11,1,351
2021-02-09,Coronavac,4,31,351
2021-02-09,Coronavac,5,38,351
2021-02-09,Coronavac,6,27,351
2021-02-09,Coronavac,7,13,351
2021-02-09,Coronavac,8,8,351
2021-02-09,Coronavac,9,13,351
2021-02-09,Coronavac,10,12,351
2021-02-09,Coronavac,11,18,351
